table_key,issue_time,area,plain_min_mm,plain_max_mm,mountain_min_mm,mountain_max_mm,raw_plain,raw_mountain
Fcst24hPrecipTable,2026-06-26T16:00:00,基隆市,50,100,,,50 - 100,-
Fcst24hPrecipTable,2026-06-26T16:00:00,臺北市,50,100,50,100,50 - 100,50 - 100
Fcst24hPrecipTable,2026-06-26T16:00:00,新北市,50,100,50,100,50 - 100,50 - 100
Fcst24hPrecipTable,2026-06-26T16:00:00,桃園市,50,100,50,100,50 - 100,50 - 100
Fcst24hPrecipTable,2026-06-26T16:00:00,新竹市,50,100,,,50 - 100,-
Fcst24hPrecipTable,2026-06-26T16:00:00,新竹縣,50,100,50,100,50 - 100,50 - 100
Fcst24hPrecipTable,2026-06-26T16:00:00,苗栗縣,50,100,50,100,50 - 100,50 - 100
Fcst24hPrecipTable,2026-06-26T16:00:00,臺中市,50,100,50,100,50 - 100,50 - 100
Fcst24hPrecipTable,2026-06-26T16:00:00,彰化縣,50,100,,,50 - 100,-
Fcst24hPrecipTable,2026-06-26T16:00:00,南投縣,80,150,80,150,80 - 150,80 - 150
Fcst24hPrecipTable,2026-06-26T16:00:00,雲林縣,80,150,80,150,80 - 150,80 - 150
Fcst24hPrecipTable,2026-06-26T16:00:00,嘉義市,80,150,,,80 - 150,-
Fcst24hPrecipTable,2026-06-26T16:00:00,嘉義縣,100,190,100,190,100 - 190,100 - 190
Fcst24hPrecipTable,2026-06-26T16:00:00,臺南市,100,190,100,190,100 - 190,100 - 190
Fcst24hPrecipTable,2026-06-26T16:00:00,高雄市,100,190,100,190,100 - 190,100 - 190
Fcst24hPrecipTable,2026-06-26T16:00:00,屏東縣,100,190,100,190,100 - 190,100 - 190
Fcst24hPrecipTable,2026-06-26T16:00:00,恆春半島,100,190,,,100 - 190,-
Fcst24hPrecipTable,2026-06-26T16:00:00,宜蘭縣,50,100,50,100,50 - 100,50 - 100
Fcst24hPrecipTable,2026-06-26T16:00:00,花蓮縣,80,150,80,150,80 - 150,80 - 150
Fcst24hPrecipTable,2026-06-26T16:00:00,臺東縣,80,150,80,150,80 - 150,80 - 150
Fcst24hPrecipTable,2026-06-26T16:00:00,蘭嶼綠島,0,50,,,< 50,-
Fcst24hPrecipTable,2026-06-26T16:00:00,連江縣,0,50,,,< 50,-
Fcst24hPrecipTable,2026-06-26T16:00:00,金門縣,0,50,,,< 50,-
Fcst24hPrecipTable,2026-06-26T16:00:00,澎湖縣,50,100,,,50 - 100,-
